DATE,GDP
1991-10-01,6264.54
1992-01-01,6363.102
1992-04-01,6470.763
1992-07-01,6566.641
1992-10-01,6680.803
1993-01-01,6729.459
1993-04-01,6808.939
1993-07-01,6882.098
1993-10-01,7013.738
1994-01-01,7115.652
1994-04-01,7246.931
1994-07-01,7331.075
1994-10-01,7455.288
1995-01-01,7522.289
1995-04-01,7580.997
1995-07-01,7683.125
1995-10-01,7772.586
1996-01-01,7868.468
1996-04-01,8032.84
1996-07-01,8131.408
1996-10-01,8259.771
1997-01-01,8362.655
1997-04-01,8518.825
1997-07-01,8662.823
1997-10-01,8765.907
1998-01-01,8866.48
1998-04-01,8969.699
1998-07-01,9121.097
1998-10-01,9293.991
1999-01-01,9417.264
1999-04-01,9524.152
1999-07-01,9681.856
1999-10-01,9899.378
2000-01-01,10002.857
2000-04-01,10247.679
2000-07-01,10319.825
2000-10-01,10439.025
2001-01-01,10472.879
2001-04-01,10597.822
2001-07-01,10596.294
2001-10-01,10660.294
2002-01-01,10788.952
2002-04-01,10893.207
2002-07-01,10992.051
2002-10-01,11071.463
2003-01-01,11183.507
2003-04-01,11312.875
2003-07-01,11567.326
2003-10-01,11769.275
2004-01-01,11920.169
2004-04-01,12108.987
2004-07-01,12303.34
2004-10-01,12522.425
2005-01-01,12761.337
2005-04-01,12910.022
2005-07-01,13142.873
2005-10-01,13332.316
2006-01-01,13603.933
2006-04-01,13749.806
2006-07-01,13867.469
2006-10-01,14037.228
2007-01-01,14208.569
2007-04-01,14382.363
2007-07-01,14535.003
2007-10-01,14681.501
2008-01-01,14651.039
2008-04-01,14805.611
2008-07-01,14835.187
2008-10-01,14559.543
2009-01-01,14394.547
2009-04-01,14352.85
2009-07-01,14420.312
2009-10-01,14628.021
2010-01-01,14721.35
2010-04-01,14926.098
2010-07-01,15079.917
2010-10-01,15240.843
2011-01-01,15285.828
2011-04-01,15496.189
2011-07-01,15591.85
2011-10-01,15796.46
2012-01-01,16019.758
2012-04-01,16152.257
2012-07-01,16257.151
2012-10-01,16358.863
2013-01-01,16569.591
2013-04-01,16637.926
2013-07-01,16848.748
2013-10-01,17083.137
2014-01-01,17104.555
2014-04-01,17432.909
2014-07-01,17721.657
2014-10-01,17849.912
2015-01-01,17984.178
2015-04-01,18219.405
2015-07-01,18344.713
2015-10-01,18350.825
2016-01-01,18424.283
2016-04-01,18637.253
2016-07-01,18806.743
2016-10-01,18991.883
2017-01-01,19190.431
2017-04-01,19356.649
2017-07-01,19611.704
2017-10-01,19918.91
2018-01-01,20163.159
2018-04-01,20510.177
2018-07-01,20749.752
2018-10-01,20897.804
2019-01-01,21098.827
2019-04-01,21337.898
